Rank;cantidad;Fecha Estreno;Titulo;Espec. Semana;Entradas Total;Semana Cartel;Pantallas;extranjero;pais;region ;original ;tipo
1;1;15/12/2021;SPIDER MAN SIN CAMINO A CASA;213830;3476010;8;339;1;EE.UU;EE.UU;0;pelicula
2;1;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;146646;461112;5;317;1;EE.UU;EE.UU;1;pelicula
3;1;13/1/2022;SCREAM: GRITA;88343;183292;3;241;1;EE.UU;EE.UU;0;pelicula
4;1;13/1/2022;HOY SE ARREGLA EL MUNDO;20276;52047;3;106;0;ARGENTINA;ARGENTINA;1;pelicula
5;1;25/11/2021;ENCANTO;13319;600590;11;43;1;EE.UU;EE.UU;1;pelicula
6;1;20/1/2022;BELLE;9149;9368;3;99;0;JAPON ;ASIA;1;pelicula
7;1;23/12/2021;MATRIX RESURRECCIONES;8065;196324;7;19;1;EE.UU;EE.UU;0;pelicula
8;1;20/1/2022;REIFINKS FESTIVAL;7805;7938;2;81;1;EE.UU;EE.UU;1;pelicula
9;1;20/1/2022;BODA NEGRA;5446;5446;1;42;1;RUSIA;EUROPA;1;pelicula
10;1;20/1/2022;AGENTES 355;4729;4729;1;84;1;EE.UU;EE.UU;1;pelicula
11;1;6/1/2022;THE KING' S MAN: EL ORIGEN;4323;33139;3;20;1;EE.UU;EE.UU;0;pelicula
12;1;6/1/2022;MY HERO ACADEMIA: MISION MUNDIAL DE HEROES;2035;24946;3;19;1;JAPON ;ASIA;0;pelicula
13;1;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;1992;75133;9;9;1;EE.UU;EE.UU;0;pelicula
14;1;25/11/2021;LA CASA GUCCI;1628;130788;11;6;1;EE.UU;EE.UU;1;pelicula
15;1;30/12/2021;EL ARO RESURRECCION;686;21042;5;4;1;CHINA;ASIA;0;pelicula
16;1;20/1/2022;LA ENCOMIENDA;611;611;1;2;0;ARGENTINA;ARGENTINA;1;pelicula
17;1;2/12/2021;EX CASADOS;526;24728;7;4;0;ARGENTINA;ARGENTINA;1;pelicula
18;1;6/1/2022;YO TRAIDOR;353;3614;3;5;0;ARGENTINA;ARGENTINA;1;pelicula
19;1;16/12/2021;UNA SOLA NOCHE;339;685;5;1;0;ARGENTINA;ARGENTINA;1;pelicula
20;1;18/11/2021;LA CRONICA FRANCESA;312;36626;11;1;1;EE.UU;EE.UU;1;pelicula
21;1;9/12/2021;AMOR SIN BARRERA;312;14977;9;2;1;EE.UU;EE.UU;0;pelicula
22;1;21/10/2021;TARARA;311;463;2;1;0;ARGENTINA;ARGENTINA;1;documental
23;1;4/7/2019;SPIDER-MAN: LEJOS DE CASA;311;1304970;25;1;1;EE.UU;EE.UU;0;pelicula
24;1;27/1/2022;ECOS DE UN CRIMEN;277;277;1;2;0;ARGENTINA;ARGENTINA;1;pelicula
25;1;6/1/2022;HUSEK;270;697;3;1;0;ARGENTINA;ARGENTINA;1;pelicula
26;1;20/1/2022;BUFONES DE LA RISASTENCIA;244;244;1;1;0;ARGENTINA;ARGENTINA;1;documental
27;1;20/1/2022;HACER LA VIDA;241;241;1;1;0;ARGENTINA;ARGENTINA;1;pelicula
28;1;13/1/2022;LA ULTIMA NOCHE;228;3125;2;1;1;UK;EUROPA;1;pelicula
29;1;13/1/2022;EL EMPLEADO Y EL PATRON;200;852;2;3;1;URUGUAY;LATAM;1;pelicula
30;1;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;190;1803;5;1;1;RUMANIA;EUROPA;1;pelicula
31;1;10/6/1999;MATRIX;112;12601;29;1;1;EE.UU;EE.UU;1;pelicula
32;1;3/2/2022;PASAJERO 666;99;99;1;1;1;RUSIA;EUROPA;1;pelicula
33;1;9/12/2021;UN JABALI AL ACECHO;90;429;5;1;0;ARGENTINA;ARGENTINA;1;pelicula
34;1;7/10/2021;VENOM: CARNAGE LIBERADO;82;851215;17;1;1;EE.UU;EE.UU;0;pelicula
35;1;27/1/2022;LICORICE PIZZA;60;60;1;1;1;EE.UU;EE.UU;1;pelicula
36;1;9/12/2021;EL CUENTO DEL TIO;46;3557;6;3;0;ARGENTINA;ARGENTINA;1;pelicula
37;1;24/1/2022;VERANO DE CINE ARTE;36;36;1;1;;;;;festival
38;1;9/12/2021;EL PERFECTO DAVID;33;840;5;2;0;ARGENTINA;ARGENTINA;1;pelicula
39;1;25/11/2021;EL PERRO QUE NO CALLA;32;2154;9;2;0;ARGENTINA;ARGENTINA;1;pelicula
40;1;23/12/2021;9;29;207;4;2;1;URUGUAY;LATAM;1;pelicula
41;1;14/10/2021;RON DA ERROR;22;163880;10;1;1;UK;EUROPA;1;pelicula
42;1;30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;16;612;5;2;1;URUGUAY;LATAM;1;pelicula
43;1;1/1/2022;MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL;11;11;1;1;;;;;festival
44;1;20/1/2022;CERRO QUEMADO;5;21;2;1;0;ARGENTINA;ARGENTINA;1;documental
45;1;23/12/2021;LA SOMBRA DEL GATO;1;721;5;1;0;ARGENTINA;ARGENTINA;1;pelicula
