Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;311215;310414;431;1;2;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
7/4/2022;SONIC 2: LA PELICULA;577729;237595;396;2;3;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;aventura
31/3/2022;MORBIUS;270693;37482;128;3;4;1;EE.UU;EE.UU;Daniel Espinosa;hombre;0;pelicula;terror
2/3/2022;BATMAN;1260002;28825;88;4;8;1;EE.UU;EE.UU;Matt Reeves;hombre;0.5;pelicula;thriller
17/3/2022;LOS TIPOS MALOS;269966;16594;83;5;6;1;EE.UU;EE.UU;Pierre Perifel;hombre;0;pelicula;animacion
7/4/2022;JACK EN LA CAJA MALDITA;40343;15050;71;6;2;1;UK ;EUROPA;Lawrence Fowler;hombre;1;pelicula;terror
14/4/2022;LAS ROJAS;8111;8111;57;7;1;0;ARGENTINA;ARGENTINA;Matías Lucchesi;hombre;0.5;pelicula;drama 
15/3/2022;COMPETENCIA OFICIAL;87854;5837;22;8;6;1;ESPAÑA;EUROPA;Gastón Duprat, Mariano Cohn;hombre;0.5;pelicula;comedia
17/2/2022;UNCHARTED: FUERA DEL MAPA;544252;3244;11;9;10;1;EE.UU;EE.UU;Ruben Fleischer;hombre;0;pelicula;aventura
24/3/2022;JUJUTSU KAISEN 0;117349;2957;22;10;4;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
10/2/2022;EL EXORCISMO DE DIOS;145203;2487;10;11;10;1;EE.UU;EE.UU;Alejandro Hidalgo;hombre;0.5;pelicula;terror
20/4/2022;SEVENTEEN POWER OF LOVE;1858;1858;26;12;1;1;COREA;ASIA;Oh Yoon-dong;hombre;1;documental;documental
7/4/2022;LAS COSAS QUE NO TE CONTÉ;4237;1443;12;13;2;1;UK;EUROPA;William Nicholson;hombre;1;pelicula;drama 
14/4/2022;EL JOVEN AHMED;1384;1384;15;14;1;1;BELGICA;EUROPA;Jean-Pierre Dardenne, Luc Dardenne;hombre;1;pelicula;drama 
9/3/1995;TIEMPOS VIOLENTOS;18583;1280;8;15;4;1;EE.UU;EE.UU;Quentin Tarantino;hombre;1;pelicula;thriller
7/4/2022;CMON CMON;6286;1205;9;16;2;1;EE.UU;EE.UU;Mike Mills;hombre;1;pelicula;drama 
17/3/2022;MISERERE;1043;970;2;17;3;0;ARGENTINA;ARGENTINA;Francisco Ríos Flores;hombre;1;documental;documental
6/1/2022;SING 2, VEN Y CANTA DE NUEVO;871851;818;4;18;17;1;EE.UU;EE.UU;Garth Jennings;hombre;1;pelicula;animacion
21/10/2021;CODA;14020;593;5;19;9;1;EE.UU;EE.UU;Siân Heder;mujer;1;pelicula;drama 
7/4/2022;UNA SEMANA CON BERGMAN - 9NA SEMANA DE CINE PORTUGUES ..;1324;508;1;20;2;;;;;;;festival;
14/4/2022;MARIA LUISA BEMBERG EL ECO DE MI VOZ;505;505;7;21;1;0;ARGENTINA;ARGENTINA;Alejandro Maci;hombre;1;documental;documental
4/4/2022;EXHIBICIÓN DE RYUSUKE HAMAGUCHI;868;434;1;22;2;;;;;;;festival;
1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";2349;427;1;23;7;;;;;;;festival;
15/12/2021;SPIDER MAN SIN CAMINO A CASA;4036524;420;2;24;20;1;EE.UU;EE.UU;Jon Watts;hombre;0;pelicula;fantasia
25/11/2021;ENCANTO;716189;395;4;25;23;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
27/1/2022;ECOS DE UN CRIMEN;102172;350;6;26;13;0;ARGENTINA;ARGENTINA;Cristian Bernard;hombre;0;pelicula;thriller
17/3/2022;AMBULANCIA;38942;303;2;27;5;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula;accion
10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;1373;266;8;28;6;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula;fantasia
20/12/2018;LA CASA DE LOS CONEJOS;5490;262;1;29;14;0;ARGENTINA;ARGENTINA;Valeria Selinger;mujer;1;pelicula;drama 
14/4/2022;MADRE PLANTA;241;241;1;30;1;0;ARGENTINA;ARGENTINA;Lisandro Costa, Alejandro Espolsino, Francisco López;hombre;1;documental;documental
24/2/2022;LA LLAMADA FINAL;34429;213;1;31;8;1;EE.UU;EE.UU;Timothy Woodward Jr.;hombre;0;pelicula;terror
6/1/2022;YO TRAIDOR;4714;210;3;32;14;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula;drama 
22/3/2022;AZOR;3534;185;5;33;5;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula;thriller
14/4/2022;SARA MAMANI;182;182;1;34;1;0;ARGENTINA;ARGENTINA;Susana Moreira;mujer;0;documental;documental
24/2/2022;BELFAST;22962;176;1;35;8;1;UK;EUROPA;Kenneth Branagh;hombre;1;pelicula;drama 
13/2/2020;SONIC LA PELICULA;701420;172;1;36;23;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;ciencia ficcion
24/2/2022;RE GRANCHIO;2026;166;3;37;7;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
31/3/2022;CICLO ABRIL - GCBA;618;160;1;38;3;;;;;;;festival;
18/2/2021;LA CHANCHA;347;159;1;39;6;0;ARGENTINA;ARGENTINA;Franco Verdoia;hombre;1;pelicula;drama 
7/4/2022;EL ULTIMO ZOMBI;1395;159;1;40;2;0;ARGENTINA;ARGENTINA;Martín Basterretche;hombre;0.5;pelicula;terror
21/4/2022;LA CIUDAD PERDIDA;152;152;1;41;1;1;EE.UU;EE.UU;Aaron Nee, Adam Nee;hombre;0.5;pelicula;aventura
24/2/2022;EL HOMBRE QUE VENDIÓ SU PIEL;1234;129;2;42;6;1;TUNEZ;AFRICA;Kaouther Ben Hania;mujer;1;pelicula;drama 
7/4/2022;MUESTRA JERZY KAWALEROWICZ;362;129;1;43;2;;;;;;;festival;
26/9/2019;LA SOMBRA DEL GALLO;1692;121;1;44;9;0;ARGENTINA;ARGENTINA;Nicolás Herzog;hombre;0.5;pelicula;thriller
10/3/2022;AXIOMAS;3340;121;4;45;7;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula;drama 
27/1/2022;LICORICE PIZZA;64970;119;1;46;13;1;EE.UU;EE.UU;Paul Thomas Anderson;hombre;1;pelicula;drama 
17/2/2022;SECTOR VIP;491;98;7;47;2;0;ARGENTINA;ARGENTINA;Eduardo Pinto;hombre;0;pelicula;drama 
21/4/2022;DESESPERADA;98;98;1;48;1;1;EE.UU;EE.UU;Phillip Noyce;hombre;0;pelicula;thriller
14/9/2017;CRÓNICA DE UN AVISO RADIAL;565;97;1;49;9;0;ARGENTINA;ARGENTINA;Ricardo Aranda;hombre;1;documental;documental
11/11/2021;LA FORMA DEL BOSQUE;1888;91;3;50;5;0;ARGENTINA;ARGENTINA;Gonzalo Mellid;hombre;1;pelicula;terror
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;1090;87;1;51;13;0;ARGENTINA;ARGENTINA;Fernando E. Solanas;hombre;1;documental;documental
13/1/2022;EL EMPLEADO Y EL PATRON;1330;79;1;52;11;1;URUGUAY;LATAM;Manuel Nieto Zas;hombre;1;pelicula;drama 
1/3/2022;"""TARDES DE CINE ARTE""";570;73;1;53;8;;;;;;;festival;
7/4/2022;ULTIMA PIEZA;433;60;2;54;2;0;ARGENTINA;ARGENTINA;Luciano Romero;hombre;1;pelicula;drama 
13/1/2022;HOY SE ARREGLA EL MUNDO;71708;42;1;55;15;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula;drama 
12/4/2022;EXHIBICIÓN ANDREY ZVYAGINTSEV;46;28;1;56;2;;;;;;;festival;
16/9/2021;BUENAS NOCHES MALVINAS;102;22;1;57;5;0;ARGENTINA;ARGENTINA;Lucas Scavino, Ana Fraile;mixto;1;documental;documental
7/4/2022;ABUELAS;59;22;1;58;2;0;ARGENTINA;ARGENTINA;Cristian Arriaga;hombre;1;documental;documental
7/4/2022;FUI ALAN POR UN AÑO;264;21;2;59;2;0;ARGENTINA;ARGENTINA;Darío Arcella;hombre;1;documental;documental
10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;795;18;2;60;5;0;ARGENTINA;ARGENTINA;Alejandro Chomski;hombre;0.5;pelicula;drama 
21/10/2021;TARARA;478;15;2;61;3;0;ARGENTINA;ARGENTINA;Ernesto Fontán;hombre;1;documental;documental
3/3/2022;BAJO LA CORTEZA;2049;13;1;62;7;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula;drama 
18/11/2021;1982;394;11;1;63;4;0;ARGENTINA;ARGENTINA;Lucas Gallo;hombre;1;documental;documental
17/2/2022;NOCHE AMERICANA;2940;7;1;64;8;0;ARGENTINA;ARGENTINA;Alejandro Bazzano;hombre;0.5;pelicula;comedia
24/3/2022;R J W;1529;6;1;65;4;0;ARGENTINA;ARGENTINA;Fermín Rivera;hombre;1;documental;documental
16/9/2021;FIDEL NIÑO VALIENTE;293;4;1;66;3;0;ARGENTINA;ARGENTINA;Mario Verón;hombre;1;documental;documental
