Espec. Semana;Fecha Estreno;ing Titulo;Semana Cartel;Entradas Total;Pantallas;Rank
429180;4/5/2022;DOCTOR STRANGE EN EL MULTIVERSO DE LA LOCURA;3;1478370;575;1
88085;7/4/2022;SONIC 2: LA PELICULA;7;1000171;220;2
20246;14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;6;553164;80;3
17660;12/5/2022;LA MEDIUM;1;17660;69;4
16190;12/5/2022;LLAMAS DE VENGANZA;2;16275;147;5
8222;21/4/2022;EL HOMBRE DEL NORTE;4;94563;27;6
7367;28/4/2022;EN LA MIRA;4;50292;54;7
5323;21/4/2022;LA CIUDAD PERDIDA;5;94926;23;8
4168;17/3/2022;LOS TIPOS MALOS;10;299283;26;9
2153;12/5/2022;SISTEMA K.E.OP/S;1;2153;26;10
1351;12/5/2022;UN AMOR CERCA DEL PARAÍSO;1;1351;13;11
1004;28/4/2022;EL BUEN PATRON;3;5269;8;12
958;14/4/2022;LAS ROJAS;5;13001;6;13
958;10/2/2022;EL EXORCISMO DE DIOS;14;151123;6;14
945;19/5/2022;EL PESO DEL TALENTO;1;945;6;15
920;15/3/2022;COMPETENCIA OFICIAL;10;94278;5;16
746;5/5/2022;MATAR A LA BESTIA;2;1511;6;17
670;1/5/2022;CINECLUB NÚCLEO EN GAUMONT - MAYO 2022;3;2310;1;18
595;3/5/2022;LATINARAB 2022;2;786;1;19
504;12/5/2022;INTEGRAL ANAHÍ BERNERI Y MALAS CASAS;1;504;1;20
397;10/3/2022;AXIOMAS;11;4074;2;21
386;28/4/2022;DOWNTON ABBEY: UNA NUEVA ERA;4;6210;4;22
359;7/4/2022;JACK EN LA CAJA MALDITA;6;54900;4;23
357;5/5/2022;VUELTA AL PERRO;2;1055;3;24
352;6/1/2022;SING 2, VEN Y CANTA DE NUEVO;21;874492;5;25
343;7/4/2022;CMON CMON;6;8061;4;26
314;7/4/2022;LAS COSAS QUE NO TE CONTÉ;6;6000;4;27
292;21/4/2022;VIRUS: 32;4;12689;1;28
292;14/5/2022;STANLEY KWAN X 2;1;292;1;29
226;31/3/2022;LA RUEDA DE LA FORTUNA Y LA FANTASIA;4;1356;3;30
219;2/5/2022;EL CAIRO MAYO/JUNIO;2;705;1;31
189;3/2/2022;JESÚS LÓPEZ;10;1686;1;32
150;19/5/2022;FRANKLIN, HISTORIA DE UN BILLETE;1;150;2;33
146;31/3/2022;AIRE FRESCO;5;661;1;34
139;7/10/2021;LAZOS DE FAMILIA;8;2739;1;35
121;2/3/2022;BATMAN;12;1280705;2;36
113;17/5/2022;""" ENCUENTRO CON EL NUEVO CINE COREANO""";1;113;1;37
111;12/5/2022;SIETE RITMOS;1;111;1;38
106;25/11/2021;ENCANTO;27;717360;1;39
102;7/4/2022;FUI ALAN POR UN AÑO;5;471;2;40
92;24/2/2022;LA LLAMADA FINAL;12;35043;1;41
89;5/5/2022;CICLO MAYO 2022;2;131;1;42
86;24/2/2022;BELFAST;12;23734;3;43
81;17/3/2022;LA DOSIS;2;348;5;44
76;15/12/2021;SPIDER MAN SIN CAMINO A CASA;24;4039081;1;45
74;25/11/2021;EL PERRO QUE NO CALLA;23;5528;1;46
73;12/5/2022;(...) EL MISMO RIO;1;73;1;47
69;31/3/2022;MORBIUS;8;287895;3;48
51;9/5/2022;ARTEÓN CINE ARTE;2;61;1;49
50;16/9/2021;EN COMPAÑIA;5;562;1;50
47;5/3/2021;EL MAESTRO;8;492;3;51
46;17/2/2022;UNCHARTED: FUERA DEL MAPA;14;546988;1;52
44;22/3/2022;AZOR;8;3639;2;53
39;28/10/2021;YO NENA YO PRINCESA;17;45462;1;54
36;1/5/2022;"""UN LARGO ADIÓS: EL MARLOWE DE CHANDLER""";2;48;1;55
35;10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;10;1572;1;56
35;2/5/2022;""" ETIQUETA NEGRA MAYO 2022""";3;118;1;57
31;27/1/2022;PIEDRA NOCHE;9;1209;1;58
26;28/10/2021;EL ARPONERO;6;444;1;59
26;3/5/2022;RETROSPECTIVA DE JOSE L.TORRES LEIVA;3;168;1;60
24;14/4/2022;MARIA LUISA BEMBERG EL ECO DE MI VOZ;2;529;1;61
23;16/12/2021;VIDA POETA - HOMERO EXPÓSITO;5;706;4;62
19;3/3/2022;LEJOS DE CASA;3;34;1;63
18;11/3/2021;VICENTA;7;560;1;64
17;21/5/2015;DAMIANA KRYYGI;22;2496;1;65
17;12/5/2022;FUEGO EN CASABINDO;1;17;1;66
16;17/3/2022;CICLO DE CINE DE ANIMÉ;3;52;1;67
15;12/5/2022;ESPEJO PARA CUANDO ME PRUEBE E;1;15;1;68
15;21/10/2021;TARARA;5;504;1;69
14;14/4/2022;MADRE PLANTA;3;309;1;70
12;24/2/2022;RE GRANCHIO;11;2414;1;71
11;12/7/2007;PULQUI, UN INSTANTE EN LA PATRIA;20;2050;1;72
11;1/5/2022;"""FOECX COLUMBIA""";2;16;1;73
10;22/8/2002;LAS PALMAS, CHACO;2;200;1;74
8;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;11;2574;1;75
8;24/3/2022;JUJUTSU KAISEN 0;8;119358;1;76
5;10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;7;872;1;77
5;4/5/2010;LOS RESISTENTES;9;470;1;78
4;26/9/2019;LA SOMBRA DEL GALLO;10;1696;1;79
4;17/2/2022;PUNTO ROJO;7;996;1;80
2;7/4/2022;EL ULTIMO ZOMBI;6;1751;1;81
2;28/4/2022;I NOSTRI GIORNI (NUESTROS DIAS);3;145;1;82
1;31/3/2022;BOROM TAXI;3;225;1;83
