Rank;cantidad;Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Semana Cartel;extranjero;pais;region ;original ;tipo
1;1;15/12/2021;SPIDER MAN SIN CAMINO A CASA;2757413;316093;541;5;1;EE.UU;EE.UU;0;pelicula
2;1;23/12/2021;MATRIX RESURRECCIONES;159238;35790;215;4;1;EE.UU;EE.UU;0;pelicula
3;1;25/11/2021;ENCANTO;567032;21423;126;8;1;EE.UU;EE.UU;1;pelicula
4;1;30/12/2021;EL ARO RESURRECCION;13064;11115;71;2;1;CHINA;ASIA;0;pelicula
5;1;9/12/2021;CLIFFORD EL GRAN PERRO ROJO;70790;4072;36;6;1;EE.UU;EE.UU;0;pelicula
6;1;25/11/2021;LA CASA GUCCI;125592;1983;10;8;1;EE.UU;EE.UU;1;pelicula
7;1;30/12/2021;UN VIAJE CON MAMÁ;1230;1061;31;2;1;ITALIA;EUROPA;0;pelicula
8;1;30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;903;840;12;2;1;RUMANIA;EUROPA;1;pelicula
9;1;9/12/2021;AMOR SIN BARRERA;13796;642;5;6;1;EE.UU;EE.UU;0;pelicula
10;1;30/12/2021;A UN CLICK DE DISTANCIA;694;586;26;2;1;EE.UU;EE.UU;1;pelicula
11;1;10/6/1999;MATRIX;12197;523;8;26;1;EE.UU;EE.UU;1;pelicula
12;1;30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;295;291;2;2;1;URUGUAY;LATAM;1;pelicula
13;1;18/11/2021;LA CRONICA FRANCESA;35564;278;3;8;1;EE.UU;EE.UU;1;pelicula
14;1;18/11/2021;GHOSTBUSTERS: EL LEGADO;171141;167;1;9;1;EE.UU;EE.UU;0;pelicula
15;1;16/12/2021;UNA SOLA NOCHE;346;125;5;4;0;ARGENTINA;ARGENTINA;1;pelicula
16;1;7/10/2021;VENOM: CARNAGE LIBERADO;850986;125;1;14;1;EE.UU;EE.UU;0;pelicula
17;1;30/12/2021;CHANGO LA LUZ DESCUBRE;99;99;1;1;0;ARGENTINA;ARGENTINA;1;documental
18;1;2/12/2021;RESIDENT EVIL: BIENVENIDOS A RACCONN CITY;62778;90;3;7;1;EE.UU;EE.UU;0;pelicula
19;1;9/12/2021;EL PERFECTO DAVID;773;84;1;2;0;ARGENTINA;ARGENTINA;1;pelicula
20;1;23/12/2021;LA SOMBRA DEL GATO;629;84;1;3;0;ARGENTINA;ARGENTINA;1;pelicula
21;1;18/11/2021;RIESGO BAJO CERO;15191;63;1;6;1;EE.UU;EE.UU;1;pelicula
22;1;28/10/2021;ESPIRITUS OSCUROS;51262;59;1;12;1;EE.UU;EE.UU;1;pelicula
23;1;8/4/2021;INMORTAL;816;48;1;6;0;ARGENTINA;ARGENTINA;1;pelicula
24;1;23/12/2021;9;149;27;1;2;1;URUGUAY;LATAM;1;pelicula
25;1;9/12/2021;ESE FIN DE SEMANA;422;16;1;5;0;ARGENTINA;ARGENTINA;1;pelicula
26;1;16/12/2021;PETITE MAMAN;733;15;1;4;1;FRANCIA ;EUROPA;1;pelicula
27;1;28/10/2021;YO NENA YO PRINCESA;42501;13;1;9;0;ARGENTINA;ARGENTINA;1;pelicula
28;1;4/11/2021;ETERNALS;679403;12;1;11;1;EE.UU;EE.UU;1;pelicula
